matchid,season,Date,Time,HomeTeam,AwayTeam,league,FTHG,FTAG,FTgoals,HTHG,HTAG,htgoals,HS,AS,HST,AST,totalshotontarget,HF,AF,HC,AC,total corner,HY,AY,HR,AR,round,home_team_rank,away_team_rank,homeform,awayform,home_team_rolling_avg_goals_conceded,away_team_rolling_avg_goals_conceded,home_team_rolling_avg_goals,away_team_rolling_avg_goals,home_rankclass,away_rankclass,homeform_class,awayform_class,hometeamplayingstyle,awayteamplayingstyle,hometeamrating,awayteamrating,homeratingclass,awayratingclass,versusplayingstyle,versusteamrating,versustableclass,versusformclass,fifatopteamlocation,Month,goalcycle,home_goal_class,away_conceded_class,home_goal_away_conceded_class,overtwo,,odds,stake,capital,return,actual return ,market movement
Match-27,2024/2025,1/9/2024,17:30,Fiorentina,Monza,Serie A,2,2,4,1,2,3,15,4,5,3,8,11,21,6,0,6,2,4,0,0,3,13,16,1,0.5,0.5,0.5,0.5,0,midtable,bottom,low,low,possessionplay,directplay,77,71,mid,low,possessionplayVdirectplay,midVlow,eurospotVtopfour,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,8054
Match-28,2024/2025,1/9/2024,17:30,Genoa,Verona,Serie A,0,2,2,0,0,0,11,10,1,3,4,8,16,3,1,4,2,6,0,0,3,4,11,2,1.5,1,1.5,1.5,1.5,topfour,midtable,mid,mid,compactplay,highpressing,73,73,low,low,compactplayVhighpressing,lowVlow,topfourVmidtable,midVmid,tough,,,Mid,Mid,MidVMid,1,win,1.57,200,10000,314,114,8168
Match-29,2024/2025,1/9/2024,19:45,Juventus,Roma,Serie A,0,0,0,0,0,0,8,7,1,1,2,11,12,6,4,10,2,2,0,0,3,1,15,3,0.5,0,1,3,0.5,topfour,bottom,top,low,directplay,possessionplay,83,81,top,top,directplayVpossessionplay,topVtop,topfourVeurospot,midVmid,tough,,,Low,High,LowVHigh,1,win,1.57,200,10000,314,114,8282
Match-30,2024/2025,1/9/2024,19:45,Udinese,Como,Serie A,1,0,1,1,0,1,10,21,3,4,7,16,9,4,6,10,3,0,0,0,3,6,19,2,0.5,1,2,1.5,0.5,eurospot,bottom,mid,low,Defensive,Defensive,75,68,mid,low,DefensiveVDefensive,midVlow,midtableVmidtable,midVmid,Home,,,Mid,Low,MidVLow,1,win,1.57,200,10000,314,114,8396
Match-31,2024/2025,14/09/2024,14:00,Como,Bologna,Serie A,2,2,4,1,0,1,14,14,4,4,8,17,12,4,3,7,2,1,0,0,4,20,18,0.333333333,0.666666667,1.67,1.67,0.33,0.67,bottom,bottom,low,low,Defensive,directplay,68,75,low,mid,DefensiveVdirectplay,lowVmid,midtableVmidtable,midVmid,Away,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,8196
Match-32,2024/2025,14/09/2024,17:00,Empoli,Juventus,Serie A,0,0,0,0,0,0,8,15,3,3,6,11,10,4,8,12,1,2,0,0,4,7,2,1.666666667,2.333333333,0.67,0,1,2,eurospot,topfour,mid,top,possessionplay,directplay,72,83,low,top,possessionplayVdirectplay,lowVtop,midtableVtopfour,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,8310
Match-33,2024/2025,14/09/2024,19:45,Milan,Venezia,Serie A,4,0,4,4,0,4,12,6,8,1,9,12,12,6,1,7,1,3,0,1,4,14,19,0.666666667,0.333333333,2,1.33,1.67,0.33,midtable,bottom,low,low,highpressing,possessionplay,83,69,top,low,highpressingVpossessionplay,topVlow,topfourVeurospot,topVmid,Home,,,Mid,Mid,MidVMid,0,loss,0,200,10000,0,-200,8110
Match-34,2024/2025,15/09/2024,11:30,Genoa,Roma,Serie A,1,1,2,0,1,1,20,16,8,6,14,9,12,4,5,9,1,3,0,0,4,10,17,1.333333333,0.666666667,1.33,0.67,1,0.33,midtable,bottom,mid,low,compactplay,possessionplay,73,81,low,top,compactplayVpossessionplay,lowVtop,topfourVeurospot,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,8224
Match-35,2024/2025,15/09/2024,14:00,Atalanta,Fiorentina,Serie A,3,2,5,3,2,5,13,13,7,5,12,16,15,4,2,6,2,3,0,0,4,12,11,1,1,2,1,1.67,1,midtable,midtable,low,low,highpressing,possessionplay,81,77,top,mid,highpressingVpossessionplay,topVmid,eurospotVeurospot,midVmid,Home,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,8024
Match-36,2024/2025,15/09/2024,14:00,Torino,Lecce,Serie A,0,0,0,0,0,0,5,20,0,6,6,13,13,2,7,9,1,3,0,0,4,3,13,2.333333333,1,1,2,1.67,0.33,topfour,midtable,top,low,compactplay,Defensive,75,70,mid,low,compactplayVDefensive,midVlow,midtableVtopfour,midVmid,Home,,,Mid,Low,MidVLow,1,win,1.57,200,10000,314,114,8138
Match-37,2024/2025,15/09/2024,17:00,Cagliari,Napoli,Serie A,0,4,4,0,1,1,16,12,3,5,8,22,11,7,4,11,1,2,0,0,4,16,6,0.666666667,2,0.67,1.33,0.33,1.67,bottom,eurospot,low,mid,compactplay,highpressing,73,82,low,top,compactplayVhighpressing,lowVtop,eurospotVtopfour,midVtop,Away,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,7938
Match-38,2024/2025,15/09/2024,19:45,Monza,Inter,Serie A,1,1,2,0,0,0,5,16,2,2,4,11,19,1,8,9,1,2,0,0,4,15,1,0.666666667,2.333333333,1,0.67,0.67,2.67,bottom,topfour,low,top,directplay,compactplay,71,84,low,top,directplayVcompactplay,lowVtop,topfourVtopfour,midVtop,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,8052
Match-39,2024/2025,16/09/2024,17:30,Parma,Udinese,Serie A,2,3,5,2,0,2,9,18,3,6,9,8,18,5,6,11,2,3,1,0,4,9,4,1.333333333,2.333333333,1.33,0.67,1.33,1.33,midtable,topfour,mid,top,Defensive,Defensive,72,75,low,mid,DefensiveVDefensive,lowVmid,midtableVmidtable,midVmid,Away,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,7852
Match-40,2024/2025,16/09/2024,19:45,Lazio,Verona,Serie A,2,1,3,2,1,3,14,7,7,2,9,13,10,9,6,15,2,2,0,0,4,8,5,1.333333333,2,1.67,1,2,1.67,eurospot,eurospot,mid,mid,directplay,highpressing,80,73,top,low,directplayVhighpressing,topVlow,eurospotVmidtable,midVmid,Home,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,7652
Match-41,2024/2025,20/09/2024,17:30,Cagliari,Empoli,Serie A,0,2,2,0,1,1,21,9,2,4,6,15,21,10,4,14,1,2,0,0,5,19,8,0.5,1.5,1.5,0.5,0.25,0.75,bottom,eurospot,low,mid,compactplay,possessionplay,73,72,low,low,compactplayVpossessionplay,lowVlow,eurospotVmidtable,midVmid,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,7766
Match-42,2024/2025,20/09/2024,19:45,Verona,Torino,Serie A,2,3,5,1,2,3,8,16,2,3,5,10,8,5,6,11,3,1,1,0,5,7,5,1.5,2,1.25,0.75,1.5,1.25,eurospot,eurospot,mid,mid,highpressing,compactplay,73,75,low,mid,highpressingVcompactplay,lowVmid,midtableVmidtable,midVmid,Away,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,7566
Match-43,2024/2025,21/09/2024,14:00,Venezia,Genoa,Serie A,2,0,2,0,0,0,12,9,4,0,4,9,12,3,4,7,2,3,0,0,5,20,11,0.25,1.25,2,1.25,0.25,1,bottom,midtable,low,mid,possessionplay,compactplay,69,73,low,low,possessionplayVcompactplay,lowVlow,eurospotVtopfour,midVmid,tough,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,7680
Match-44,2024/2025,21/09/2024,17:00,Juventus,Napoli,Serie A,0,0,0,0,0,0,9,8,1,1,2,10,13,4,3,7,1,0,0,0,5,4,2,2,2.25,0,1,1.5,2.25,topfour,topfour,mid,top,directplay,highpressing,83,82,top,top,directplayVhighpressing,topVtop,topfourVtopfour,midVtop,tough,,,Mid,High,MidVHigh,1,win,1.57,200,10000,314,114,7794
Match-45,2024/2025,21/09/2024,19:45,Lecce,Parma,Serie A,2,2,4,1,0,1,14,24,3,10,13,12,11,2,12,14,4,0,1,1,5,13,12,1,1,1.5,1.75,0.25,1.5,midtable,midtable,low,low,Defensive,Defensive,70,72,low,low,DefensiveVDefensive,lowVlow,topfourVmidtable,midVmid,tough,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,7594
Match-46,2024/2025,22/09/2024,11:30,Fiorentina,Lazio,Serie A,2,1,3,0,1,1,14,20,5,6,11,11,15,3,10,13,3,4,0,0,5,14,6,0.75,1.75,1.5,1.5,1.25,2,midtable,eurospot,low,mid,possessionplay,directplay,77,80,mid,top,possessionplayVdirectplay,midVtop,eurospotVeurospot,midVmid,Away,,,Mid,Mid,MidVMid,0,loss,0,200,10000,0,-200,7394
Match-47,2024/2025,22/09/2024,14:00,Monza,Bologna,Serie A,1,2,3,1,1,2,6,15,3,8,11,20,16,2,2,4,3,2,0,0,5,15,17,0.75,0.75,1,1.75,0.75,1,bottom,bottom,low,low,directplay,directplay,71,75,low,mid,directplayVdirectplay,lowVmid,topfourVmidtable,midVmid,Away,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,7194
Match-48,2024/2025,22/09/2024,17:00,Roma,Udinese,Serie A,3,0,3,1,0,1,14,9,6,3,9,15,11,2,1,3,2,2,0,0,5,16,1,0.75,2.5,0.75,1,0.5,1.75,bottom,topfour,low,top,possessionplay,Defensive,81,75,top,mid,possessionplayVDefensive,topVmid,eurospotVmidtable,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,6994
Match-49,2024/2025,22/09/2024,19:45,Inter,Milan,Serie A,1,2,3,1,1,2,13,16,4,8,12,13,4,6,2,8,4,1,0,0,5,3,10,2,1.25,0.75,1.5,2.25,2.25,topfour,midtable,mid,mid,compactplay,highpressing,84,83,top,top,compactplayVhighpressing,topVtop,topfourVtopfour,topVtop,tough,,,Low,Mid,LowVMid,0,loss,0,200,10000,0,-200,6794
Match-50,2024/2025,24/09/2024,19:45,Atalanta,Como,Serie A,2,3,5,1,0,1,8,14,5,7,12,12,17,6,2,8,1,3,0,0,5,9,18,1.5,0.5,2,1.75,2,0.75,midtable,bottom,mid,low,highpressing,Defensive,81,68,top,low,highpressingVDefensive,topVlow,eurospotVmidtable,midVmid,Home,,,Low,Mid,LowVMid,0,loss,0,200,10000,0,-200,6594
